,county,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cases,deaths,driving,transit,walking
0,Dallas,2020-02-15,-1.0,-2.0,,,2.0,,,,126.79,102.23,176.33
1,Dallas,2020-02-15,10.0,,,,,,,,126.79,102.23,176.33
2,Dallas,2020-02-15,10.0,8.0,,,3.0,-3.0,,,126.79,102.23,176.33
3,Dallas,2020-02-15,8.0,-7.0,,,10.0,,,,126.79,102.23,176.33
4,Dallas,2020-02-15,4.0,1.0,16.0,0.0,1.0,-1.0,,,126.79,102.23,176.33
5,Dallas,2020-02-16,-11.0,-10.0,,,-4.0,,,,94.36,86.55,125.74
6,Dallas,2020-02-16,-3.0,,,,,,,,94.36,86.55,125.74
7,Dallas,2020-02-16,16.0,8.0,,,0.0,,,,94.36,86.55,125.74
8,Dallas,2020-02-16,2.0,10.0,,,,,,,94.36,86.55,125.74
9,Dallas,2020-02-16,9.0,2.0,50.0,3.0,1.0,-2.0,,,94.36,86.55,125.74
10,Dallas,2020-02-17,-2.0,-4.0,,,-15.0,4.0,,,106.2,105.27,115.99
11,Dallas,2020-02-17,-3.0,,,,,,,,106.2,105.27,115.99
12,Dallas,2020-02-17,7.0,8.0,,,-14.0,5.0,,,106.2,105.27,115.99
13,Dallas,2020-02-17,-16.0,-2.0,,,-16.0,,,,106.2,105.27,115.99
14,Dallas,2020-02-17,7.0,0.0,39.0,-2.0,-18.0,4.0,,,106.2,105.27,115.99
15,Dallas,2020-02-18,-9.0,-5.0,,,0.0,0.0,,,107.09,102.49,95.91
16,Dallas,2020-02-18,-3.0,,,,,,,,107.09,102.49,95.91
17,Dallas,2020-02-18,-3.0,3.0,,,2.0,0.0,,,107.09,102.49,95.91
18,Dallas,2020-02-18,-10.0,-2.0,,,6.0,,,,107.09,102.49,95.91
19,Dallas,2020-02-18,-4.0,-4.0,-7.0,-2.0,3.0,1.0,,,107.09,102.49,95.91
20,Dallas,2020-02-19,-10.0,-7.0,,,2.0,0.0,,,110.56,101.15,94.0
21,Dallas,2020-02-19,8.0,,,,,,,,110.56,101.15,94.0
22,Dallas,2020-02-19,-3.0,4.0,,,3.0,1.0,,,110.56,101.15,94.0
23,Dallas,2020-02-19,8.0,6.0,,,3.0,,,,110.56,101.15,94.0
24,Dallas,2020-02-19,-2.0,-2.0,-8.0,-3.0,5.0,0.0,,,110.56,101.15,94.0
25,Dallas,2020-02-20,-9.0,-12.0,,,2.0,1.0,,,112.15,102.61,107.09
26,Dallas,2020-02-20,-3.0,,,,,,,,112.15,102.61,107.09
27,Dallas,2020-02-20,-1.0,-2.0,,,3.0,1.0,,,112.15,102.61,107.09
28,Dallas,2020-02-20,-18.0,5.0,,,6.0,,,,112.15,102.61,107.09
29,Dallas,2020-02-20,2.0,2.0,0.0,-2.0,2.0,0.0,,,112.15,102.61,107.09
30,Dallas,2020-02-21,-3.0,-9.0,,,4.0,2.0,,,133.82,113.77,143.97
31,Dallas,2020-02-21,1.0,,,,,,,,133.82,113.77,143.97
32,Dallas,2020-02-21,18.0,-16.0,,,1.0,-1.0,,,133.82,113.77,143.97
33,Dallas,2020-02-21,1.0,5.0,,,22.0,,,,133.82,113.77,143.97
34,Dallas,2020-02-21,3.0,-2.0,2.0,2.0,5.0,-2.0,,,133.82,113.77,143.97
35,Dallas,2020-02-22,-3.0,-2.0,,,5.0,,,,132.23,102.22,171.81
36,Dallas,2020-02-22,5.0,,,,,,,,132.23,102.22,171.81
37,Dallas,2020-02-22,10.0,-10.0,,,-2.0,-3.0,,,132.23,102.22,171.81
38,Dallas,2020-02-22,6.0,4.0,,,8.0,,,,132.23,102.22,171.81
39,Dallas,2020-02-22,2.0,-1.0,18.0,-1.0,3.0,-1.0,,,132.23,102.22,171.81
40,Dallas,2020-02-23,-8.0,-6.0,,,1.0,,,,88.15,78.27,95.08
41,Dallas,2020-02-23,-7.0,,,,,,,,88.15,78.27,95.08
42,Dallas,2020-02-23,14.0,-7.0,,,5.0,,,,88.15,78.27,95.08
43,Dallas,2020-02-23,-4.0,11.0,,,,,,,88.15,78.27,95.08
44,Dallas,2020-02-23,3.0,-2.0,-19.0,-2.0,0.0,1.0,,,88.15,78.27,95.08
45,Dallas,2020-02-24,-4.0,-11.0,,,1.0,2.0,,,107.57,105.48,102.45
46,Dallas,2020-02-24,1.0,,,,,,,,107.57,105.48,102.45
47,Dallas,2020-02-24,0.0,-9.0,,,3.0,0.0,,,107.57,105.48,102.45
48,Dallas,2020-02-24,-16.0,-3.0,,,9.0,,,,107.57,105.48,102.45
49,Dallas,2020-02-24,4.0,0.0,20.0,1.0,4.0,-1.0,,,107.57,105.48,102.45
50,Dallas,2020-02-25,7.0,-3.0,,,3.0,-1.0,,,111.27,103.51,103.31
51,Dallas,2020-02-25,9.0,,,,,,,,111.27,103.51,103.31
52,Dallas,2020-02-25,0.0,-17.0,,,1.0,0.0,,,111.27,103.51,103.31
53,Dallas,2020-02-25,-19.0,-5.0,,,5.0,,,,111.27,103.51,103.31
54,Dallas,2020-02-25,5.0,-1.0,21.0,2.0,4.0,-1.0,,,111.27,103.51,103.31
